selector_id,family,strict_no_future,posthoc_selection,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,annualized_sharpe,exposure_pct,turnover,orders,unique_units_used,unit_index,unit_id,expert_index,expert_name,leverage,win_rate_pct,profit_factor,notes
monthly_posthoc_best_oracle,monthly_posthoc_best_oracle,False,True,True,370900113695.3203,2737161.0965417833,2737161.0965417833,112.29415706860877,0,10,8.933259929484392e+24,-91.0980604830379,5.545502735936081,96.58712541620422,6824.0,853,24,,,,,,50.78760892463852,1.0979570318567933,Each month chooses the best expert+leverage after seeing that month.
strict_first_14d_calibrate_trade_rest,strict_first_days_calibration,True,False,False,77.76033602831977,153.75278888662137,77.76033602831977,-63.623025082080034,5,2,287.02793346420975,-96.65486792523913,0.21301157773082716,50.320246022937475,3176.0,397,24,,,,,,50.08385985066054,1.0063626859487051,"Chooses after the first 14 calendar day(s), then trades the rest of that month."
strict_first_15d_calibrate_trade_rest,strict_first_days_calibration,True,False,False,86.73988513481478,90.07975506618058,86.73988513481478,-65.0776517980922,6,2,1047.7227797396158,-92.8061562482379,0.40175006109379824,47.66347576766556,3016.0,377,22,,,,,,50.37475440851868,1.0113056532173652,"Chooses after the first 15 calendar day(s), then trades the rest of that month."
strict_trailing_12m_winner_past_orders10,strict_trailing_winner,True,False,False,-96.30372880068097,7.993898301195205,-96.30372880068097,-84.29613529246457,9,14,35.25323639321684,-99.89748319911257,0.033807046207897734,88.08152978172402,5608.0,715,9,,,,,,49.83002349482195,1.0016542080057553,Uses only the previous 12 month(s); past order gate=True.
strict_first_7d_calibrate_trade_rest,strict_first_days_calibration,True,False,False,6.696600195471267,-95.64202225468304,-95.64202225468304,-66.83837078480536,10,2,-99.80954458440529,-99.96138210940273,-0.7805222864947668,75.11792452830188,4648.0,581,21,,,,,,49.70603626065811,0.9864836479100277,"Chooses after the first 7 calendar day(s), then trades the rest of that month."
strict_trailing_3m_winner,strict_trailing_winner,True,False,False,-98.48602364498477,365.678716621,-98.48602364498477,-78.87030197634807,10,0,14.10087666856652,-99.8432873603522,0.014085756182761333,93.7812153163152,3288.0,411,16,,,,,,49.961167202929104,1.0006007705186584,Uses only the previous 3 month(s); past order gate=False.
strict_first_10d_calibrate_trade_rest,strict_first_days_calibration,True,False,False,-93.21291242213773,2.5041855869364493,-93.21291242213773,-71.8758340387301,11,2,-99.55448932884968,-99.96183924107727,-0.7314408916369216,66.52793192748797,4264.0,533,24,,,,,,49.723689698317806,0.9865267339771647,"Chooses after the first 10 calendar day(s), then trades the rest of that month."
strict_trailing_3m_winner_past_orders10,strict_trailing_winner,True,False,False,-99.91244926544034,3.9932544849045084,-99.91244926544034,-87.68589163848492,11,4,-99.43543963850472,-99.99830296037177,-0.5584241035514572,89.36829448760636,6808.0,851,17,,,,,,49.732212160413965,0.9910808332859271,Uses only the previous 3 month(s); past order gate=True.
strict_trailing_6m_winner_past_orders10,strict_trailing_winner,True,False,False,-99.88687388087381,-88.65750336919461,-99.88687388087381,-92.24616188377044,11,4,-99.961527367827,-99.99988114366663,-0.8516365360150904,89.85964668886423,7560.0,945,13,,,,,,49.89514313284014,0.9863214666952972,Uses only the previous 6 month(s); past order gate=True.
strict_trailing_12m_winner,strict_trailing_winner,True,False,False,299.9661329807898,-93.55293779846973,-93.55293779846973,-78.87030197634807,12,0,-73.91179463763396,-99.88606004757226,-0.14351670829786936,94.02862560118386,1576.0,197,9,,,,,,50.04487833667359,0.9978196184092077,Uses only the previous 12 month(s); past order gate=False.
strict_trailing_1m_winner,strict_trailing_winner,True,False,False,-97.7800881800502,-25.927970653777066,-97.7800881800502,-80.39554896764051,12,0,-51.020896329381294,-99.91325254051883,-0.07620520370089483,93.81821124676286,3880.0,485,24,,,,,,49.96980862364293,0.9990416423493376,Uses only the previous 1 month(s); past order gate=False.
strict_trailing_1m_winner_past_orders10,strict_trailing_winner,True,False,False,-99.18294991574557,-52.675627065139395,-99.18294991574557,-87.047642739545,12,4,-99.9164602595874,-99.9923122777573,-0.7578999975345698,93.47137439881614,7144.0,893,23,,,,,,49.84848297443382,0.9877452110424982,Uses only the previous 1 month(s); past order gate=True.
strict_trailing_2m_winner,strict_trailing_winner,True,False,False,-99.5949776538232,-40.51271307665811,-99.5949776538232,-87.047642739545,12,0,-99.36420033710891,-99.99504645331122,-0.5391761446853159,93.88411024787273,4440.0,555,24,,,,,,50.08620052705465,0.9912440507308571,Uses only the previous 2 month(s); past order gate=False.
strict_trailing_6m_winner,strict_trailing_winner,True,False,False,-99.95539602344937,-12.161892425683222,-99.95539602344937,-89.84540089329622,13,0,-99.98704191846234,-99.9998402062998,-0.9561341759369969,93.95578986311506,1736.0,217,15,,,,,,49.757592164197476,0.9842061503478028,Uses only the previous 6 month(s); past order gate=False.
strict_trailing_2m_winner_past_orders10,strict_trailing_winner,True,False,False,-99.79491975939237,-96.6857656869941,-99.79491975939237,-85.35810464124161,16,6,-99.99430971181536,-99.99986486396746,-1.0459895123448253,92.99967628560857,7816.0,977,21,,,,,,49.802961176514465,0.9828969869205161,Uses only the previous 2 month(s); past order gate=True.
