leverage,hold_bars,action,event_set,candidate_id,month,log_return,turnover,orders,max_drawdown_pct,return_pct
0.5,16,btc_momentum,strict,strict_btc_momentum_hold16_lev0p5,2025-07,-0.017717849258718745,9.0,18,-3.069244619224698,-1.7561811080235912
0.5,64,btc_reversal,loose,loose_btc_reversal_hold64_lev0p5,2025-08,-0.0011528924212539618,22.5,44,-5.68989300932915,-0.11522280961094866
0.5,64,pair_reversal,strict,strict_pair_reversal_hold64_lev0p5,2025-09,-0.018546094932585706,12.5,48,-5.149269628556452,-1.8375174381236037
0.5,16,pair_reversal,strict,strict_pair_reversal_hold16_lev0p5,2025-10,-0.0254111624195484,31.5,120,-6.083412864839688,-2.5091016325922144
0.5,16,btc_momentum,strict,strict_btc_momentum_hold16_lev0p5,2025-11,-0.059135662231487064,31.5,59,-8.826115692978453,-5.7421111872333
0.5,32,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,2025-12,-0.001778744849331074,14.5,28,-4.1316147675846455,-0.17771638202662698
0.5,32,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,2026-01,-0.03835282829741424,20.5,36,-10.59837807155677,-3.762667156066901
0.5,96,btc_momentum,strict,strict_btc_momentum_hold96_lev0p5,2026-02,0.10712602457519017,10.0,18,-10.830842104300942,11.307452038425092
0.5,32,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,2026-03,-0.02675114746955182,17.5,35,-3.791737012516039,-2.639650492621548
0.5,32,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,2026-04,-0.00418113959357494,5.0,10,-4.666876538269671,-0.41724107990981363
0.5,32,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,2026-05,0.0076619645251938436,16.5,33,-6.217294082730673,0.7691392486037341
0.5,32,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,2026-06,-0.04964261840384232,22.5,45,-8.227732584608638,-4.843056285573411
