month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,cost_log_return_sum,return_pct,drawdown_pct
2024-01,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0
2024-02,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0
2024-03,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0
2024-04,0.025485845097881127,1.0,1.0258133858796081,-0.10864123498233591,29.0,29,0.029,2.581338587960813,-10.86412349823359
2024-05,0.016663303513728592,1.0244061973374976,1.0430500366146556,-0.12287651331845306,17.0,17,0.017,1.6802910716813946,-12.287651331845307
2024-06,0.02908862999650299,1.0430500366146556,1.0738365308697713,-0.07827105254292,22.0,22,0.022,2.9515836416665886,-7.827105254291999
2024-07,0.015203895409342093,1.0738365308697713,1.0902877737575458,-0.15475039510625233,14.0,14,0.014,1.5320062611810847,-15.475039510625233
2024-08,-0.009396047450082923,1.0902877737575458,1.0800913561293872,-0.2227071981359362,18.0,18,0.018000000000000002,-0.9352042528201321,-22.27071981359362
2024-09,0.02234152232429622,1.0800913561293872,1.1044938203548453,-0.10360949385229334,20.0,20,0.02,2.2592963166473856,-10.360949385229334
2024-10,0.0497961534013598,1.1044938203548453,1.1608857627298044,-0.057990006606356004,16.0,16,0.016,5.105682017925806,-5.799000660635601
2024-11,-0.2497340366636388,1.1597254572165234,0.9043392301672154,-0.2735606083157155,15.0,15,0.015,-22.099205692670733,-27.35606083157155
2024-12,0.16582179289395663,0.9028671301168661,1.0674483261405991,-0.26306384906395597,31.0,31,0.031,18.036273395241786,-26.306384906395596
2025-01,-0.005991906312232989,1.0663814113607581,1.061071399828914,-0.14818488735028645,27.0,27,0.027,-0.5973990642470839,-14.818488735028644
2025-02,-0.06430442151410973,1.0600742768361782,0.9949873362385334,-0.2331762109868013,24.0,24,0.024,-6.228050591226564,-23.31762109868013
2025-03,0.008186189636255971,0.9952103450241512,1.0031659213097766,-0.1981276276906263,31.0,31,0.031,0.8219788105205073,-19.81276276906263
2025-04,0.13673770181756484,1.0031659213097766,1.1501571924842866,-0.21558283290994373,18.0,18,0.018000000000000002,14.652737702910802,-21.558283290994375
2025-05,-0.04884295694932949,1.1501571924842866,1.0953299753252732,-0.15221504808845876,7.0,7,0.007,-4.766932512988875,-15.221504808845875
2025-06,0.04937508579180151,1.096559274821174,1.1507693871685627,-0.10090343311241601,13.0,13,0.013000000000000001,5.061434735849901,-10.0903433112416
2025-07,-0.07827236664987136,1.1507693871685627,1.0641308730512031,-0.16813676742332484,3.0,3,0.003,-7.528746861309143,-16.813676742332483
2025-08,0.007156680225180693,1.0682766588198422,1.0717738339193779,-0.12816963069994158,17.0,17,0.017,0.7182350462457521,-12.81696306999416
2025-09,-0.005517709494345709,1.0717738339193779,1.065876382434571,-0.1268499495474188,4.0,4,0.004,-0.5502514894621391,-12.68499495474188
2025-10,-0.11898028640252643,1.065876382434571,0.9463120220037463,-0.22034967352692725,18.0,18,0.018000000000000002,-11.217469717991813,-22.034967352692725
2025-11,-0.05776522520925107,0.9463120220037463,0.8931969653390549,-0.3487009535746677,24.0,24,0.024,-5.612848133560022,-34.87009535746677
2025-12,-0.10607853281509447,0.8931969653390549,0.8033002783031383,-0.3640200993559941,37.0,37,0.037,-10.064598350017018,-36.40200993559941
2026-01,0.04881059300638181,0.8041878603666857,0.8434825234092288,-0.33889003324760414,12.0,12,0.012,5.0021450497900855,-33.88900332476042
2026-02,-0.22558570330644778,0.8499018675004908,0.6731400993181322,-0.4693730744543134,15.0,15,0.015,-20.195133789209795,-46.937307445431344
2026-03,0.007228302125400289,0.6731400993181322,0.6780233870061536,-0.46420394567702716,28.0,28,0.028,0.7254489359596938,-46.420394567702715
2026-04,-0.10979694794315419,0.6780233870061536,0.6075198402394004,-0.5109890150117484,22.0,22,0.022,-10.398394527077471,-51.09890150117484
2026-05,-0.007535416880498745,0.6075198402394004,0.6029591299872264,-0.5044761841590369,3.0,3,0.003,-0.7507096805886571,-50.4476184159037
2026-06,0.04174100923733283,0.6019098175259838,0.6286599093807694,-0.5300697378831902,19.0,19,0.019,4.262441368801806,-53.00697378831902
